company_name,Email,Website,Contact
Luckytex Thailand Public Company Limited,NaN,www.toray.co.th/home/index.htm,T.266-6585|266-6600-7|235-6800F.238-3957-8
Jaspal Sons Co Ltd,email: jaspal@jaspalandspns.com,www.jaspalhome.com,T.312-6800F.312-6167|312-6531|312-6830|312-6824
Thai Taffeta Co Ltd,email: ttc@thai-taffeta.com,www.thai-taffeta.com,T.661-6580-6F.661-6138|258-4375
Pahn Chuen Co Ltd,email: pahnchuen@email.com,NaN,T.315-2165-6|705-0100F.315-2167
Evergreen Fabric Co Ltd,email: evergreenfabric@hotmail.com,NaN,T.429-1256-9F.429-1260|429-1258
British Thai Synthetic Textile Co Ltd,NaN,NaN,T.238-3329-31F.236-3174
Thai Printex Industry Co Ltd,email: jung@thaiprintex.com,NaN,T.533-0172-3|996-1391-2F.533-0919
Akarat Textile Industry Co Ltd,email: info@akarattextile.com,www.akarattextile.com,T.(034)490-120-4F.(034)490-119
Thai Filament Textile Co Ltd Mr K A Anantha Podmanabhan,NaN,NaN,T.622-7403-6F.221-0383
Thai Towel Co Ltd,email: thaitowe@loxinfo.co.th,NaN,T.222-0126-7|222-9310F.225-3914
Thai Textile Development and Finishing Co Ltd,email: market@ttdf.co.th,NaN,T.323-2514-8F.323-0657
Thai Eastern Industry Co Ltd,email: tei@loxinfo.co.th,NaN,T.429-0162-4|429-0963-6F.429-0988|429-0155
Porjai Thai Printer Co Ltd,email: porjaith@ksc.th.com,NaN,T.754-3121-5F.394-3217
Teerapat Industries Corporation Co Ltd,email: admin@teerapat.co.th,NaN,T.429-0999|429-0982-3429-0897F.429-0629
K World Textile Co Ltd,NaN,www.kworldtextile.com,T.(034)827-314-6|425-478-80F.(034)423-504|423-569
Texport Thai Co Ltd,email: filaplus@filaplus.com,www.filaplus.com,T.454-4422F.804-2460-3
Thaipaipan Co Ltd,email: contact@thaipaipan.net,www.thaipaipan.com,T.394-1181-2F.394-5709
Kulthvorn Finishing Co Ltd,email: pommell@bkk3.loxinfo.co.th,NaN,T.580-2642F.589-7512
Everest Textile Thailand Co Ltd,NaN,www.everest.co.th,T.263-0671-4F.263-0675
Mall Inter Print Co Ltd,email: mallinterprint@yahoo.com,NaN,T.300-2925|717-9031-4F.717-9920|300-2702
Tong Siang Co Ltd,NaN,NaN,T.810-1334|810-1336-9F.429-1408|810-1432-3
Thai Unique Textile Co Ltd,NaN,NaN,T.337-1026F.337-1189|337-1206|740-5197
Golden Thread Co Ltd,email: info@gtthai.com,www.gtthai.com,T.801-7771F.801-7772|801-7422
Fair Textile Thailand Co Ltd,NaN,www.fairtextile.com,T.231-6333F.231-6238
United Thai Synthetic Fibre,email: utsf@utsf.comware.net,NaN,T.285-6292-3|679-8577-8F.679-8579
Thai Inter Cotton Weaving Co Ltd,email: sales@tcw.co.th| admintcw.co.th,NaN,T.816-0648-50F.816-2672
Evergreen Industries Ltd,email: accts@evergnind.com,NaN,T.(034)232-640-3F.(034)322-399|232-644|232-640
,NaN,NaN,โทรศัพท์/โทรสาร
Pipat Dyeing Co Ltd,email: tavorn@inet.co.th,www.tvptextile.com,T.437-8108|437-3511F.437-2797
Nam Boon Bleaching Dyeing Factory Co Ltd,NaN,NaN,T.394-0595|394-0862F.394-0595
Uniontex Knitting Co Ltd,NaN,NaN,T.420-0407|420-1417F.420-0884
Lee Viwat Group Co Ltd,NaN,www.leeviwat.com,T.(034)311-592F.(034)311-471
RTD Textile Industry Co Ltd,email: rtd56@hotmail.com,www.rtdindustry.com,T.(032)322-021-3F.(032)322-024
Prestige Plus Co Ltd,NaN,NaN,T.294-0074F.294-2386
The Ever Group Co Ltd,email: info@siamclothingsupplier.com,www.siamclothingsupplier.com,T.(034)490-229-30F.(034)490-209
Texmaster Company Limited,NaN,NaN,T.(034)287-633-6F.(034)287-637|292-138
Better Textile Co Ltd,NaN,NaN,T.898-3373-5|(034)479-447-9F.898-3376|(034)470-447
Thawornwatn Bleaching Co Ltd,NaN,NaN,T.420-0504|420-5609F.420-5609
Y U D Textile Co Ltd,NaN,NaN,T.416-0068F.415-4888
Amanda Dyeing Co Ltd,NaN,NaN,T.899-9111F.899-9350-1
Jintex Co Ltd,NaN,NaN,T.(034)425-845-6F.(034)815-072
Sawang Textile Co Ltd,email: info@swtextile.com,NaN,T.(034)423-931F.(034)423-930
Infinite Progress Textile,email: info@infiniteprogresstextile.com,NaN,T.(032)313-733|313-433F.(032)313-733#113
Worldbest Household Textile Thailand Co Ltd,email: worldbestm@clickta.com,www.worldbesthometex.com,T.636-7813-880F.636-7849
Thaiman Industries Co Ltd,email: thaiman@inet.co.th,www.thaimanind.com,T.427-7025|427-5609|427-0542F.427-8502|870-9914
DyStar Thai Ltd,email: DyStar.thai@DyStar.com,www.DyStar.com,T.264-0470F.264-0474|661-9668
V P C Chemical Co Ltd,email: vpc@vpc-group.com,www.vpc-group.com,T.892-0920-8F.892-0928|892-0597-8
President Chemical Co Ltd,email: pcc@mozart.inet.co.th,www.president-chemical.co.th,T.234-4171-4|235-7812-3F.236-2008
Siam Textile Chemical Co Ltd Mr Iwao Tomiyama,email: info@stc-chem.co.th,NaN,T.267-6816-9F.236-6694
Thai Mitsui Specialty Chemicals Co Ltd Mr Masaru Sakurai,NaN,www.tmsc.co.th,T.634-1970F.236-1459|237-9792|237-9794
,NaN,NaN,โทรศัพท์/โทรสาร
Ciba Specialty Chemicals Thailand Ltd,NaN,www.cibasc.com,T.966-2700F.966-2694
Hanson Chemical Co Ltd,email: hanson75@ksc.th.com,NaN,T.935-6900F.935-6700|935-6832
MC Industrial Chemical Co Ltd,email: txdiv@mcic.co.th,NaN,T.223-1296|225-0200F.224-7700|224-9839
Loxley Public Co Ltd,NaN,www.loxley.com,T.240-3109-11|348-8176|348-8000F.240-3112|240-3139|348-8196
Clariant Chemicals Thailand Ltd,NaN,www.clariant.com,T.661-5360-9F.661-4060|661-4063
Rachada Chemicals Co Ltd,email: info@rachada.com,www.rachada.co.th,T.295-0291F.295-0300
Chaiyaboon Brothers Co Ltd,NaN,www.chaiyaboon.com,T.215-5512F.612-3730
Praxair Thailand Co Ltd,NaN,www.praxair.com,T.313-1290-1304F.313-1730|313-1728-29
Thai Ambica Chemicals Co Ltd,email: tacl@loxinfo.co.th,NaN,T.622-7367-72F.622-7374-5
Bayer Thai Co Ltd,NaN,www.bayer.co.th,T.232-7298-316F.266-5422
Siam Pro Trading Co Ltd,email: siampro@hotmail.com,www.siampro.net,T.398-9644F.398-9129|396-1996
Asia Dyestuff Industries Ltd,email: adi@linethai.co.th,www.adithai.com,T.874-2021-3|427-8613-4|427-5888F.427-5889
Dusit Chemicals Co Ltd,email: ntung@mozart.inet.co.th,NaN,T.440-1207-10|440-0433-9F.440-1211
United Engineering Overseas Ltd UNOL,Email: sucho@asianet.co.th,NaN,T.722-0922-4F.722-1991
Thies SEA,NaN,NaN,T.712-2567-8F.712-2569
,NaN,NaN,โทรศัพท์/โทรสาร
Modern Dyestuffs Pigments Co Ltd,email: mdp@moderndyestuffs.com,www.moderndyestuffs.com,T.530-3890-5F.539-2488
Boehme Thai Co Ltd,NaN,www.boehmethai.com,T.701-4805-8|388-2328-9F.701-4809|388-2257
Grandtex Industry Co Ltd,email: sutat@grandtex.com,NaN,T.811-0180-84F.811-0188
Nicher Trading Co Ltd,email: nicher@cscoms.com,www.nicher1987.com,T.385-6018-9|385-6386-8F.385-6018
Inter Silk Screen Co Ltd,email: intertex@loxinfo.co.th,www.novaintertech.com,T.(034)339-120-2|230-564F.(034)230-565
,NaN,NaN,โทรศัพท์/โทรสาร
Phisit Intergroup Co Ltd,Email: phisit@loxinfo.co.th,Web  : www.phisit.com,T.272-2961-4F.271-2488
August Chem Co Ltd,email: auchem@asiaaccess.net.th,NaN,T.641-4383-4F.641-4385
Cheng Fu Machinery Industry Co Ltd,email: chengfu@asianet.net.th,NaN,T.810-1890|429-1277F.429-1857
Color Expert Co Ltd,NaN,www.ce.corp-th.com,T.571-0663-5|571-0983-4F.571-0667
K Z Corporation Ltd,email: sales@kzcorp.com,www.kzcorp.com,T.(034)381-313F.(034)381-717
Royal Liquid Co Ltd,email: royalliquid@yahoo.com,NaN,T.348-3144-5F.348-3146
Chemmart Enterprise Thailand Co Ltd,email: info@chemmartthai.com,www.chemmartthai.com,T.710-6688-93F.710-6694
Sunbeam Limited Partnership,email: praneat@hotmail.com,NaN,T.530-1543|935-2320F.538-9178
TNC Trading Co Ltd,NaN,NaN,T.712-3939F.712-3942
Danfoss Thailand Co Ltd,NaN,www.danfoss.com,T.379-9800F.379-9801
C N C Chem Co Ltd,email: chuchcnc@bkk.a-net.net.th,NaN,T.814-1530-1|814-1674|429-2641F.429-2641
Thaipoox Limited,NaN,NaN,T.656-9568-9F.254-9563
DKSH Thailand Limited,NaN,NaN,T.332-8653|332-8311F.332-8654
W Plastic Co Ltd,NaN,NaN,T.415-1912|415-5888F.415-5858
